ALTA;D03A  AGENTES CURATIVOS-HERIDA;B. BRAUN AESCULAP DE MEXICO S.;LINOVERA;2017-06-01;LINOVERA EMULSION 30 ML;ALOE VERA + CENTELLA ASIATICA + GINKGO BILOBA + ROMERO;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2016-06-01;HIPOGLOS CREMOSO TBO 45G+PLUS +CRA 3PZAS;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2017-04-01;2017-08-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;SANFER CORP.;KAMILEN;2014-01-01;KAMILEN CREMA 40 G;MATRICARIA CHAMOMILLA;2014-12-01;2015-04-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;SANFER CORP.;KAMILEN;2014-01-01;KAMILEN CREMA 40 G;MATRICARIA CHAMOMILLA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;SANFER CORP.;KAMILEN;2014-01-01;KAMILEN CREMA 40 G;MATRICARIA CHAMOMILLA;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;SANFER CORP.;KAMILEN;2014-01-01;KAMILEN CREMA 40 G;MATRICARIA CHAMOMILLA;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;SUAVENE;2006-05-01;SUAVENE TUBO 100 G;AVENA SATIVA + CALENDULA + UREA;2014-12-01;2015-04-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;SUAVENE;2006-05-01;SUAVENE TUBO 100 G;AVENA SATIVA + CALENDULA + UREA;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;SUAVENE;2006-05-01;SUAVENE TUBO 100 G;AVENA SATIVA + CALENDULA + UREA;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;SUAVENE;2006-05-01;SUAVENE TUBO 100 G;AVENA SATIVA + CALENDULA + UREA;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BRISTOL MYERS SQUIBB;SAF-GEL;2004-11-01;SAF-GEL TBO 85 G;ALGINATO DE SODIO;2014-12-01;2015-04-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;SANFER CORP.;KAMILEN;2014-01-01;KAMILEN POMADA 40 G;MATRICARIA CHAMOMILLA;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;SANFER CORP.;KAMILEN;2014-01-01;KAMILEN POMADA 40 G;MATRICARIA CHAMOMILLA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;JOHNSON+JOHNSON CO;DESITIN UNGT;1900-12-01;DESITIN UNGT UNGT 57 G;OXIDO DE ZINC;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;JOHNSON+JOHNSON CO;DESITIN UNGT;1900-12-01;DESITIN UNGT UNGT 57 G;OXIDO DE ZINC;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;JOHNSON+JOHNSON CO;DESITIN UNGT;1900-12-01;DESITIN UNGT UNGT 57 G;OXIDO DE ZINC;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;SANOFI CORP;MADECASOL;1982-03-01;MADECASOL POLVO 10 G;CENTELLA ASIATICA;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;SANOFI CORP;MADECASOL;1982-03-01;MADECASOL POLVO 10 G;CENTELLA ASIATICA;2016-04-01;2016-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;SANOFI CORP;MADECASOL;1982-03-01;MADECASOL POLVO 10 G;CENTELLA ASIATICA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;SANOFI CORP;MADECASOL;1982-03-01;MADECASOL POLVO 10 G;CENTELLA ASIATICA;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;SANOFI CORP;MADECASOL;1982-03-01;MADECASOL POLVO 10 G;CENTELLA ASIATICA;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;BAUSCH HEALTH;FITOESTIMULINA;2009-05-01;FITOESTIMULINA CREMA/GASAS 12 G 3;FENOXIETANOL + TRITICUM VULGARE;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PAC;2017-08-01;HIPOGLOS PAC POMADA TBO 45 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PAC;2017-08-01;HIPOGLOS PAC POMADA TBO 45 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM REFINE;2014-06-01;JUVEDERM REFINE GEL JGA 18 MG 2 0.6 ML;ACIDO HIALURONICO;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM REFINE;2014-06-01;JUVEDERM REFINE GEL JGA 18 MG 2 0.6 ML;ACIDO HIALURONICO;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM REFINE;2014-06-01;JUVEDERM REFINE GEL JGA 18 MG 2 0.6 ML;ACIDO HIALURONICO;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MANUELL;PEBISUT;2015-03-01;PEBISUT UNGTO 30 G;MALTODEXTRINA + OXIDO DE ZINC;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2001-01-01;HIPOGLOS PLUS POMADA 110 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2016-04-01;2016-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2001-01-01;HIPOGLOS PLUS POMADA 110 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NORDIN,SA-QUIMICA FRANCO MEXI.;CICADIN;2006-08-01;CICADIN GEL 60 G;CALENDULA;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;NORDIN,SA-QUIMICA FRANCO MEXI.;CICADIN;2006-08-01;CICADIN GEL 60 G;CALENDULA;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NORDIN,SA-QUIMICA FRANCO MEXI.;CICADIN;2006-08-01;CICADIN GEL 60 G;CALENDULA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;NORDIN,SA-QUIMICA FRANCO MEXI.;CICADIN;2006-08-01;CICADIN GEL 60 G;CALENDULA;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM VOLUMA;2014-06-01;JUVEDERM VOLUMA GELJGAWITHLI 20 MG /3MG 2 1 ML;ACIDO HIALURONICO;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM VOLUMA;2014-06-01;JUVEDERM VOLUMA GELJGAWITHLI 20 MG /3MG 2 1 ML;ACIDO HIALURONICO;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM VOLUMA;2014-06-01;JUVEDERM VOLUMA GELJGAWITHLI 20 MG /3MG 2 1 ML;ACIDO HIALURONICO;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;PFIZER CORPORATION;DEBRISAN;2009-06-01;DEBRISAN SBR MICROGRA 2.5 10;DEXTRANOMERO;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PA;2017-08-01;HIPOGLOS PA POMADA TARRO 60 G;ACIDO BORICO + ALANTOINA + OXIDO DE ZINC;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM ULT PL XC;2014-06-01;JUVEDERM ULT PL XC GEL JGA 24 MG /3MG 2 0.8 ML;ACIDO HIALURONICO;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM ULT PL XC;2014-06-01;JUVEDERM ULT PL XC GEL JGA 24 MG /3MG 2 0.8 ML;ACIDO HIALURONICO;2015-08-01;2015-12-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM ULT PL XC;2014-06-01;JUVEDERM ULT PL XC GEL JGA 24 MG /3MG 2 0.8 ML;ACIDO HIALURONICO;2017-04-01;2017-08-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;DARIER,SA DE CV,LABS DERMAT;PANALINE;1996-10-01;PANALINE CREMA 150 G;ALFATOCOFEROL + OXIDO DE ZINC;2016-04-01;2016-08-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;FARMASA;CADULAN;2012-08-01;CADULAN GEL 28 G;CALENDULA;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;FARMASA;CADULAN;2012-08-01;CADULAN GEL 28 G;CALENDULA;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM HYDRATE;2014-06-01;JUVEDERM HYDRATE GEL JGA 13.5 MG /9.0 1 1 ML;ACIDO HIALURONICO;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM HYDRATE;2014-06-01;JUVEDERM HYDRATE GEL JGA 13.5 MG /9.0 1 1 ML;ACIDO HIALURONICO;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2013-10-01;BEPANTHEN POMADA 5 % 100G +30G+ BIBE;DEXPANTENOL;2014-12-01;2015-04-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;AMERICAN MEXICO;PASTA LASSAR;2002-08-01;PASTA LASSAR TARRO 60 G;OXIDO DE ZINC;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;AMERICAN MEXICO;PASTA LASSAR;2002-08-01;PASTA LASSAR TARRO 60 G;OXIDO DE ZINC;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;LOREN, S.A. DE C.V.;SUTIN;2005-11-01;SUTIN POMADA 45 G;OXIDO DE ZINC + RETINOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;LOREN, S.A. DE C.V.;SUTIN;2005-11-01;SUTIN POMADA 45 G;OXIDO DE ZINC + RETINOL;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;LOREN, S.A. DE C.V.;SUTIN;2005-11-01;SUTIN POMADA 45 G;OXIDO DE ZINC + RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;LOREN, S.A. DE C.V.;SUTIN;2005-11-01;SUTIN POMADA 45 G;OXIDO DE ZINC + RETINOL;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;DERMOTIN-A;1997-03-01;DERMOTIN-A CREMA TARRO 100 G;RETINOL;2014-04-01;2014-08-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;DERMOTIN-A;1997-03-01;DERMOTIN-A CREMA TARRO 100 G;RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;QUIMICA SON S;BABYSONS;2018-07-01;BABYSONS POMADA 30 G;DEXPANTENOL;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;COLUMBIA CORP;VIT.A/D/ALAN GI CO;2011-05-01;VIT.A/D/ALAN GI CO POMADA 60 G;ALANTOINA + COLECALCIFEROL + RETINOL;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;COLUMBIA CORP;VIT.A/D/ALAN GI CO;2011-05-01;VIT.A/D/ALAN GI CO POMADA 60 G;ALANTOINA + COLECALCIFEROL + RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ARMSTRONG;RECOVERON-C;1999-02-01;RECOVERON-C CREMA 5 % 40 G;ACIDO ACEXAMICO;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1994-01-01;HIPOGLOS PLUS POMADA TBO 60 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1994-01-01;HIPOGLOS PLUS POMADA TBO 60 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1994-01-01;HIPOGLOS PLUS POMADA TBO 60 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1994-01-01;HIPOGLOS PLUS POMADA TBO 60 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM ULTRA XC;2014-06-01;JUVEDERM ULTRA XC JGA 24 MG /3MG 2 1 ML;ACIDO HIALURONICO;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2001-01-01;HIPOGLOS PLUS POMADA 45 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2001-01-01;HIPOGLOS PLUS POMADA 45 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2016-04-01;2016-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2001-01-01;HIPOGLOS PLUS POMADA 45 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2001-01-01;HIPOGLOS PLUS POMADA 45 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2017-08-01;2017-12-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ARMSTRONG;DERMATOLONA;2002-03-01;DERMATOLONA CREMA 20 G;ACIDO ACEXAMICO + BROMURO DE CETRIMONIO;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ARMSTRONG;DERMATOLONA;2002-03-01;DERMATOLONA CREMA 20 G;ACIDO ACEXAMICO + BROMURO DE CETRIMONIO;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;GLENMARK PHARMACEUTIC MEXICO S;ALIAGEN;2010-01-01;ALIAGEN CREMA 100 G;ACIDO HIALURONICO;2014-12-01;2015-04-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PA;2017-08-01;HIPOGLOS PA POMADA 110 G + 30%;ACIDO BORICO + ALANTOINA + OXIDO DE ZINC;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;GRUPO FARMACEUTICO SOMAR;DOMEBORO;1963-12-01;DOMEBORO POLVO SOBRES 12;ACETATO DE CALCIO + SULFATO DE ALUMINIO;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL;1998-08-01;ITALDERMOL CREM+10GASAS 40 G;TRITICUM VULGARE;2014-08-01;2014-12-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL;1998-08-01;ITALDERMOL CREM+10GASAS 40 G;TRITICUM VULGARE;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL;1998-08-01;ITALDERMOL CREM+10GASAS 40 G;TRITICUM VULGARE;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM VOLIFT;2014-06-01;JUVEDERM VOLIFT GEL JGA LIDO 17 MG /3MG 2 1 ML;ACIDO HIALURONICO;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM VOLIFT;2014-06-01;JUVEDERM VOLIFT GEL JGA LIDO 17 MG /3MG 2 1 ML;ACIDO HIALURONICO;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM VOLIFT;2014-06-01;JUVEDERM VOLIFT GEL JGA LIDO 17 MG /3MG 2 1 ML;ACIDO HIALURONICO;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL;1993-01-01;ITALDERMOL CREMA 30 G;FENOXIETANOL + TRITICUM VULGARE;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL;1993-01-01;ITALDERMOL CREMA 30 G;FENOXIETANOL + TRITICUM VULGARE;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL;1996-02-01;ITALDERMOL CREMA 10 G;FENOXIETANOL + TRITICUM VULGARE;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL;1996-02-01;ITALDERMOL CREMA 10 G;FENOXIETANOL + TRITICUM VULGARE;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL;1996-02-01;ITALDERMOL CREMA 10 G;FENOXIETANOL + TRITICUM VULGARE;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ASPID;FIBROQUEL;2005-11-01;FIBROQUEL AMP 1.5 ML;COLAGENO;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ASPID;FIBROQUEL;2005-11-01;FIBROQUEL AMP 1.5 ML;COLAGENO;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL G;2010-11-01;ITALDERMOL G CREMA 30 G;GENTAMICINA + TRITICUM VULGARE;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL G;2010-11-01;ITALDERMOL G CREMA 30 G;GENTAMICINA + TRITICUM VULGARE;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL G;2010-11-01;ITALDERMOL G CREMA 30 G;GENTAMICINA + TRITICUM VULGARE;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2008-04-01;HIPOGLOS PLUS POMADA 110G +30% GTIS;ALANTOINA + OXIDO DE ZINC + RETINOL;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2008-04-01;HIPOGLOS PLUS POMADA 110G +30% GTIS;ALANTOINA + OXIDO DE ZINC + RETINOL;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2008-04-01;HIPOGLOS PLUS POMADA 110G +30% GTIS;ALANTOINA + OXIDO DE ZINC + RETINOL;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2010-02-01;HIPOGLOS PLUS POMADA 45G+ 33% GTIS;ALANTOINA + OXIDO DE ZINC + RETINOL;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;JOHNSON+JOHNSON CO;DESITIN BABY CARE;2006-06-01;DESITIN BABY CARE UNGUENTO 113 G;ALOE VERA + OXIDO DE ZINC;2014-04-01;2014-08-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PA;2017-08-01;HIPOGLOS PA POMADA TBO 110 G;ACIDO BORICO + ALANTOINA + OXIDO DE ZINC;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;KAMILODERM;1997-09-01;KAMILODERM JABON BARRA 100 G;MATRICARIA CHAMOMILLA + RETINOL;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;KAMILODERM;1997-09-01;KAMILODERM JABON BARRA 100 G;MATRICARIA CHAMOMILLA + RETINOL;2014-08-01;2014-12-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;KAMILODERM;1997-09-01;KAMILODERM JABON BARRA 100 G;MATRICARIA CHAMOMILLA + RETINOL;2017-04-01;2017-08-01;lanzamiento
