ALTA;G03D  PROGESTAG,EXCL G3A,G3F;ABBOTT;DUPHASTON;2006-08-01;DUPHASTON TABL 10 MG 20;DIDROGESTERONA;2015-12-01;2016-04-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;PREMASTAN;2004-01-01;PREMASTAN GEL TBO 80 G;PROGESTERONA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;PREMASTAN;2004-01-01;PREMASTAN GEL TBO 80 G;PROGESTERONA;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;PREMASTAN;2004-01-01;PREMASTAN GEL TBO 80 G;PROGESTERONA;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;PREMASTAN;2004-01-01;PREMASTAN GEL TBO 80 G;PROGESTERONA;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;PFIZER CORPORATION;PROVERA;1994-07-01;PROVERA TABL 10 MG 10;MEDROXIPROGESTERONA;2015-08-01;2015-12-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;PFIZER CORPORATION;PROVERA;1994-07-01;PROVERA TABL 10 MG 10;MEDROXIPROGESTERONA;2015-12-01;2016-04-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;PISA;CLODIENITH;2011-12-01;CLODIENITH TABL 2 MG 10;CLORMADINONA;2017-04-01;2017-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;PISA;CLORMADINON GI PIS;2012-12-01;CLORMADINON GI PIS TABL 2 MG 10;CLORMADINONA;2015-08-01;2015-12-01;BAJA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;PFIZER CORPORATION;PROVERA;1995-09-01;PROVERA TABL 5 MG 24;MEDROXIPROGESTERONA;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;PFIZER CORPORATION;PROVERA;1995-09-01;PROVERA TABL 5 MG 24;MEDROXIPROGESTERONA;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;ULTRA LABORATORIOS;PROGESTERONA G.I U;2017-05-01;PROGESTERONA G.I U GEL 1.0 G /100 80 G;PROGESTERONA;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;UTROGESTAN;2002-10-01;UTROGESTAN PERLAS 200 MG 14;PROGESTERONA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;SERONO;CRINONE;2000-06-01;CRINONE GEL VAG.CANU 8 % 6 1.12 G;PROGESTERONA;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;SERONO;CRINONE;2000-06-01;CRINONE GEL VAG.CANU 8 % 6 1.12 G;PROGESTERONA;2017-12-01;2018-04-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;SERONO;CRINONE;2000-06-01;CRINONE GEL VAG.CANU 8 % 6 1.12 G;PROGESTERONA;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;SERONO;CRINONE;2000-06-01;CRINONE GEL VAG.CANU 8 % 6 1.12 G;PROGESTERONA;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;CARNOT;LUVENYL;2003-04-01;LUVENYL TABL 5 MG 10;NOMEGESTROL;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;CARNOT;LUVENYL;2003-04-01;LUVENYL TABL 5 MG 10;NOMEGESTROL;2015-12-01;2016-04-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;ASOFARMA;GESLUTIN;2016-10-01;GESLUTIN PERLAS 400 MG 15;PROGESTERONA;2016-12-01;2017-04-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;UTROGESTAN;1993-11-01;UTROGESTAN CAPS 100 MG 30;PROGESTERONA;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;UTROGESTAN;1993-11-01;UTROGESTAN CAPS 100 MG 30;PROGESTERONA;2017-04-01;2017-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;PFIZER CORPORATION;SAYANA;2017-09-01;SAYANA JGA PRELLEN 104 MG 0.65 ML;MEDROXIPROGESTERONA;2017-12-01;2018-04-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;BAYER CORP.;PRIMOLUT;1900-12-01;PRIMOLUT A.IM RETARD 250 MG 1 ML;HIDROXIPROGESTERONA;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;BAYER CORP.;PRIMOLUT;1900-12-01;PRIMOLUT A.IM RETARD 250 MG 1 ML;HIDROXIPROGESTERONA;2015-08-01;2015-12-01;BAJA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;BAYER CORP.;PRIMOLUT;1900-12-01;PRIMOLUT A.IM RETARD 250 MG 1 ML;HIDROXIPROGESTERONA;2017-04-01;2017-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;EXELTIS;GESTAGENO ELEA;2006-01-01;GESTAGENO ELEA CAPS 200 MG 15;HIDROXIPROGESTERONA;2015-12-01;2016-04-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;EXELTIS;GESTAGENO ELEA;2006-01-01;GESTAGENO ELEA CAPS 200 MG 15;HIDROXIPROGESTERONA;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;EXELTIS;GESTAGENO ELEA;2006-01-01;GESTAGENO ELEA CAPS 200 MG 15;HIDROXIPROGESTERONA;2018-04-01;2018-08-01;BAJA, por demanda
